AE_MAX,AE_KURT,AE_VAR,AE_RMS,AE_C_0.1,AE_C_0.15,AE_CF,Ax1_RMS,Ax1_SK,Ax1_MEAN,Ax1_MAX,Ax1_KURT,Ax2_RMS,Ax2_SK,Ax2_MEAN,Ax2_MAX,Ax2_KURT,Ay1_RMS,Ay1_SK,Ay1_MEAN,Ay1_MAX,Ay1_KURT,Ay2_RMS,Ay2_SK,Ay2_MEAN,Ay2_MAX,Ay2_KURT,Az1_RMS,Az1_SK,Az1_MEAN,Az1_MAX,Az1_KURT,Az2_RMS,Az2_SK,Az2_MEAN,Az2_MAX,Az2_KURT,F_p_RMS,F_p_SK,F_p_MEAN,F_p_MAX,F_p_KURT,F_f_RMS,F_f_SK,F_f_MEAN,F_f_MAX,F_f_KURT,F_c_RMS,F_c_SK,F_c_MEAN,F_c_MAX,F_c_KURT,Iu_s_RMS,Iu_s_SK,Iu_s_MEAN,Iu_s_MAX,Iu_s_KURT,Iu_x_RMS,Iu_x_SK,Iu_x_MEAN,Iu_x_MAX,Iu_x_KURT,Iv_s_RMS,Iv_s_SK,Iv_s_MEAN,Iv_s_MAX,Iv_s_KURT,Iv_x_RMS,Iv_x_SK,Iv_x_MEAN,Iv_x_MAX,Iv_x_KURT,Micro_RMS,Micro_SK,Micro_MEAN,Micro_MAX,Micro_KURT,Vu_s_RMS,Vu_s_SK,Vu_s_MEAN,Vu_s_MAX,Vu_s_KURT,Vu_x_RMS,Vu_x_SK,Vu_x_MEAN,Vu_x_MAX,Vu_x_KURT,Vv_s_RMS,Vv_s_SK,Vv_s_MEAN,Vv_s_MAX,Vv_s_KURT,Vv_x_RMS,Vv_x_SK,Vv_x_MEAN,Vv_x_MAX,Vv_x_KURT,Vw_s_RMS,Vw_s_SK,Vw_s_MEAN,Vw_s_MAX,Vw_s_KURT,Vw_x_RMS,Vw_x_SK,Vw_x_MEAN,Vw_x_MAX,Vw_x_KURT,TV50.S_RMS,TV50.S_SK,TV50.S_MEAN,TV50.S_MAX,TV50.S_KURT,TV51.S_RMS,TV51.S_SK,TV51.S_MEAN,TV51.S_MAX,TV51.S_KURT,TV2.S_RMS,TV2.S_SK,TV2.S_MEAN,TV2.S_MAX,TV2.S_KURT,TV2.X_RMS,TV2.X_SK,TV2.X_MEAN,TV2.X_MAX,TV2.X_KURT,TV2.Z_RMS,TV2.Z_SK,TV2.Z_MEAN,TV2.Z_MAX,TV2.Z_KURT,CV3.S_RMS,CV3.S_SK,CV3.S_MEAN,CV3.S_MAX,CV3.S_KURT,CV3.X_RMS,CV3.X_SK,CV3.X_MEAN,CV3.X_MAX,CV3.X_KURT,CV3.Z_RMS,CV3.Z_SK,CV3.Z_MEAN,CV3.Z_MAX,CV3.Z_KURT,CON.SV2.S,CON.SV2.X,CON.SV2.Z,CON.G.FREAL,CON.A.SREAL.S,tool,Vb (mm)
0.203665,4.044778,0.000731,0.027032,2310,42,7.534122999999999,5.223148999999999,-0.124066,0.020679,23.002806,3.241069,3.3147620000000004,-0.497801,0.02157,17.343802,4.269443,5.768133,-0.071488,0.0198199999999999,28.612519,3.205841,0.001894,0.086012,-8.4e-05,0.008118,2.739763,8.598905,-0.02952,0.020761,37.481806,3.115971,3.293495,-0.518513,0.021003,16.142792,4.305382,179.29143100000002,0.145675,179.156894,226.621843,3.567908,364.824851,0.381207,364.747005,399.545547,2.767491,528.9955610000001,0.487983,528.644022,591.617515,2.277683,31.096758,-0.012418,-0.560576,90.666083,2.502913,0.046174,-0.745941,0.0105209999999999,0.144484,4.6354370000000005,32.568333,-0.003486,0.738408,104.291929,2.541931,0.658288,-0.568733,-0.653866,-0.470335,3.298252,0.472446,-0.086089,0.000459,1.832043,2.835476,265.149329,0.001307,-4.318571,423.863144,1.266426,198.767102,0.004075,1.493525,387.216957,2.056973,265.216925,-5.7e-05,-4.140633,426.926145,1.265181,198.945984,-0.00159,-1.098548,384.956677,2.05655,264.137967,0.001078,-4.124829,419.311903,1.261658,198.103124,0.002968,0.276729,384.282558,2.054985,564.990237,0.233906,564.968,578,2.521053,6876.209322,0.105041,6872.292,7438,2.617511,121.16861000000002,0.226091,116.28,175,1.543166,135.922169,-0.199208,135.892,144,4.399709,98.434181,-0.236132,92.976,161,2.3152790000000003,285.605637,-0.013604,283.988,346,1.711727,5.1431510000000005,2.187505,5.132,6,5.807574,14.361337,-0.225628,13.512,24,2.318726,23939045.05,1370.871415,233815.5871,2260.913532,8155288.123,5,0.0
0.194863,3.991339,0.000728,0.0269769999999999,2078,33,7.223210000000001,5.12717,-0.12761,-0.028392,22.835884,3.2517080000000003,3.327088,-0.544798,-0.029487,14.701156,4.270987,5.963798000000001,-0.058922,-0.028363,24.971301,3.176833,0.001675,-0.001659,5.9e-05,0.006742,2.443935,8.882796,-0.027054,-0.029071,43.501534,3.099619,3.304311,-0.576438,-0.028921,14.806293,4.333573,180.821527,0.157397,180.702978,209.403223,3.181353,364.367006,0.332485,364.297951,391.686244,2.536629,529.0994509999999,0.5106609999999999,528.7639389999999,587.963163,2.293927,31.096908000000003,-0.013267,-0.349896,94.877778,2.500054,0.045513,-0.735121,0.007637,0.152636,4.626998,32.592741,-0.002769,0.5383140000000001,105.086019,2.546171,0.474759,-0.722646,-0.469479,-0.299764,3.689187,0.450157,0.018537,-0.00138,1.610455,2.763591,265.687589,0.00025,-3.135682,423.495915,1.265606,199.116145,0.003685,1.075177,388.078619,2.056776,265.651513,-8.4e-05,-2.980061,427.413622,1.26462,199.30695,-0.001825,-0.786145,386.699055,2.057225,264.60205,0.000428,-2.989713,421.391306,1.262966,198.46429,0.002625,0.201656,385.137134,2.055281,563.218164,-0.112515,563.188,578,2.197077,6894.818638,0.14047,6890.688,7597,2.839279,121.13244,0.1895119999999999,116.276,182,1.5693780000000002,135.48595500000002,-0.602942,135.452,141,3.784948,97.076836,-0.253545,91.688,153,2.228415,286.996279,-0.050802,285.376,336,1.725812,5.117421,2.541205,5.108,6,7.49361,14.121756,-0.253609,13.28,22,2.242422,23936873.29,1503.875567,233795.071899,2263.317532,8153697.292,5,0.0021720000000000003
0.203046,4.00736,0.000717,0.026781,2019,39,7.581602,5.151557,-0.13291,0.017371,23.017018,3.293766,3.334376,-0.560694,0.0172189999999999,17.147013,4.489304,5.926833,-0.064978,0.016878,23.446909,3.248374,0.001647,-0.011354,1.8e-05,0.005825,2.420148,8.773203,0.000436,0.0180199999999999,40.025475,3.206396,3.297796,-0.588344,0.016794,17.171936,4.569516,180.295631,0.221373,180.17383,219.169002,3.499563,364.138461,0.41793,364.069472,399.927012,2.967898,526.579131,0.520437,526.2258099999999,592.031244,2.430568,31.090077,-0.010942,-0.21389,91.445031,2.497164,0.045043,-0.73709,0.005098,0.154333,4.62407,32.589343,-0.007543,0.387317,102.282022,2.551484,0.317633,-0.881892,-0.310776,-0.15868,4.076586,0.465413,-0.012372,-0.001058,1.708902,2.742221,265.363811,0.000889,-2.052998,428.460213,1.266312,198.926147,0.003818,0.721168,386.73657,2.056707,265.361733,0.000401,-1.921567,426.779514,1.265627,199.085038,-0.001747,-0.512166,385.655701,2.056459,264.312427,0.001702,-1.973822,423.929157,1.26207,198.262022,0.002764,0.143215,384.618904,2.054854,563.9549910000001,0.222039,563.896,585,2.256543,6887.742695999999,0.084139,6883.332,7519,2.737694,121.116968,0.206419,116.008,175,1.555565,135.575204,0.214246,135.548,144,3.328049,96.555021,-0.265244,90.976,156,2.358543,287.21165,-0.009025,285.42,344,1.69979,5.100196,2.840346,5.092,6,9.116437,14.107870000000002,-0.272631,13.24,23,2.398679,23936274.49,1417.811116,234333.2511,2266.488887,8156394.185985001,5,0.004345
0.2064619999999999,4.007104,0.000716,0.026767,2105,32,7.71329,5.12969,-0.12292,-0.008704,20.321064,3.177388,3.269763,-0.521749,-0.008815,13.675718,4.342072,5.91735,-0.055884,-0.008037,28.16004,3.194905,0.001651,-0.011479,4e-06,0.006289,2.427128,8.819289999999999,-0.011402,-0.008309,40.913728000000006,3.127899,3.23208,-0.553998,-0.008523,13.733713,4.395048,181.238803,0.05955,181.120726,209.552882,3.274235,365.883228,0.292417,365.820534,391.517874,2.567868,529.3396339999999,0.406569,528.997033,590.542949,2.170845,31.113269,-0.007657,-0.161289,89.87594,2.497012,0.044932,-0.729238,0.002842,0.1469589999999999,4.626869999999999,32.585608,-0.00794,0.309277,103.916594,2.545919,0.186336,-1.053343,-0.175882,-0.023771,4.509646,0.443745,-0.030427,0.000139,1.485202,2.667995,264.939496,0.000589,-1.242831,427.514366,1.266185,198.598263,0.003828,0.389151,388.561583,2.057017,264.960558,-0.00031,-1.125001,425.561089,1.266007,198.774753,-0.001761,-0.309749,384.21279,2.056548,263.895201,0.001063,-1.19831,420.6745,1.261445,197.937977,0.002754,0.061334,383.025971,2.054798,564.4673809999999,-0.055519,564.448,576,2.538553,6885.571426,-0.227105,6881.3,7451,2.710171,122.087035,0.183652,116.844,177,1.515582,135.608599,-0.278457,135.572,144,3.765492,96.593023,-0.200197,91.044,157,2.239719,285.671567,0.000725,284.02,339,1.612254,5.130302,2.352879,5.12,6,6.564493,14.097659,-0.204799,13.24,23,2.215272,23941252.24,1357.918489,234497.141218,2267.637296,8155210.292,5,0.006517
0.197119,4.016845,0.000714,0.026724,2053,29,7.376236,5.205071,-0.131262,-0.01824,24.334465,3.248465,3.284127,-0.517848,-0.017675,17.0312,4.236618,6.202478,-0.035084,-0.017127,29.346255,3.1420220000000003,0.001645,-0.01201,2e-06,0.005856,2.404637,9.123074,-0.025049,-0.019341,40.124793,3.107081,3.252686,-0.545661,-0.017449,17.442288,4.276789,181.39011,0.161642,181.276698,220.136142,3.388092,366.299272,0.352032,366.242733,393.421815,2.730352,528.335594,0.508971,528.024294,587.2996929999999,2.342751,31.08433,-0.006538,-0.123898,91.611032,2.502629,0.044837,-0.74014,0.00084,0.142141,4.63645,32.587728000000006,-0.004009,0.15908,101.11006,2.544797,0.08576,-1.23068,-0.062687,0.086111,4.948891000000001,0.460958,-0.043606,0.000676,1.715602,2.783551,264.85254100000003,0.000538,-0.406239,426.895966,1.266131,198.522804,0.003778,0.160743,384.832478,2.056744,264.85631,-0.000126,-0.327624,429.406082,1.2652,198.69976,-0.00193,-0.088482,385.262875,2.056673,263.827715,0.000586,-0.407313,422.455399,1.261508,197.856413,0.002612,0.042881,382.275512,2.05495,561.596147,-0.015482,561.56,578,2.382177,6907.077239,-0.248704,6902.68,7520,2.796112,122.283212,0.153406,116.952,180,1.509258,135.808836,-0.565902,135.776,143,5.255935,94.724696,-0.292433,89.168,146,2.279217,287.209638,-0.112839,285.488,340,1.638276,5.130302,2.352879,5.12,6,6.564493,13.802464,-0.29112,12.948,21,2.267548,23936992.41,1388.865576,234292.008305,2268.203688,8154651.786110001,5,0.00869
0.200847,3.985039,0.000726,0.026942,2098,46,7.454835000000001,5.198179,-0.116064,0.026262,23.010753,3.241523,3.280974,-0.485957,0.026068,16.396207,4.235778,6.1739370000000005,-0.028679,0.025414,24.769452,3.099671,0.001643,0.000576,0.0,0.006278,2.44098,9.144842,-0.009562,0.0274829999999999,43.063117,3.073423,3.262778,-0.51671,0.025833,15.933501,4.301213,182.395687,0.129265,182.279856,218.31391800000003,3.232162,367.63872,0.345089,367.578608,392.898288,2.677991,530.187947,0.559304,529.841014,599.732613,2.478974,31.113126,-0.007018,-0.047478,92.983295,2.492414,0.044711,-0.757809,-0.000648,0.13721,4.640248000000001,32.597154,-0.002069,-0.045583,104.267742,2.540116,0.063896,-1.409468,0.031062,0.1608619999999999,5.408109,0.458217,0.0200669999999999,0.003473,1.890071,2.820933,264.695742,0.000591,0.263602,427.77562,1.26452,198.412151,0.003907,-0.090943,385.672554,2.056763,264.714893,-0.000713,0.322795,424.876678,1.264914,198.601769,-0.001703,0.034033,388.426624,2.057042,263.627909,0.000476,0.271594,423.109406,1.260159,197.753685,0.002813,-0.032652,384.602425,2.055183,566.854514,-0.194621,566.8,583,2.502589,6921.021366,-0.139192,6916.584,7608,2.962271,122.57233,0.16945,117.704,177,1.555121,135.725856,-0.218442,135.7,144,3.732139,93.61111,-0.271291,87.992,146,2.262832,287.66722400000003,-0.113641,286.096,345,1.719443,5.117421,2.541205,5.108,6,7.49361,13.625417,-0.271021,12.756,21,2.241441,23934071.73,1355.07679,234427.422706,2264.505223,8154750.384,5,0.010862
0.246556,3.997289,0.000716,0.026764,2020,33,9.212161,5.318286,-0.097712,-0.018376,24.123645,3.1914580000000004,3.296047,-0.494375,-0.018879,15.655758,4.148411,6.360484,-0.046446,-0.018341,27.439635,3.098184,0.001648,-0.010688,3e-06,0.00589,2.428792,9.324622,-0.013541,-0.019674,38.062147,3.03968,3.268611,-0.521419,-0.018878,15.822710999999998,4.202005000000001,182.324486,0.129699,182.212258,225.156469,3.592759,368.736918,0.295434,368.681089,398.92017,2.7923560000000003,530.692862,0.496543,530.3697950000001,588.791373,2.361329,31.107216,-0.014061,0.099018,93.710154,2.495145,0.044704,-0.758614,-0.001759,0.135159,4.664421,32.589021,-0.002181,-0.202126,103.269234,2.544407,0.120042,-1.558203,0.107244,0.23444,5.78365,0.4633649999999999,0.018979,-0.000574,1.747123,2.881699,264.520392,0.000413,0.768532,427.135651,1.265498,198.300766,0.003994,-0.226901,384.779953,2.057084,264.553051,0.000271,0.790326,429.559418,1.265791,198.469473,-0.001633,0.198813,388.709732,2.057138,263.48273,0.001004,0.71487,420.836456,1.2630290000000002,197.639189,0.002866,-0.026787,384.355629,2.055259,572.665002,0.021209,572.636,588,2.705862,6926.787004000001,-0.272233,6922.468,7590,2.885779,123.240156,0.153481,118.184,176,1.496141,135.851434,-0.40745,135.82,144,6.1663760000000005,94.703411,-0.230586,89.16,153,2.264453,287.620243,-0.047637,285.964,344,1.63355,5.138871,2.240411,5.128,6,6.043728,13.757471,-0.241574,12.9,22,2.273467,23938619.03,1349.475096,233348.23402800004,2260.125619,8154938.957,5,0.013034
0.182141,3.991544,0.000715,0.026733,2051,32,6.813397,5.432857,-0.118258,0.015656,21.431722,3.174001,3.318417,-0.570262,0.016908,15.105101,4.370747,6.871525,-0.03513,0.017846,29.408393,3.089143,0.001647,-0.001585,3e-06,0.006314,2.422175,9.979672,-0.015699,0.0178979999999999,42.100375,3.085081,3.2799,-0.603002,0.0174509999999999,14.602045,4.4777510000000005,182.24505,0.141088,182.133898,211.637195,3.242454,369.201023,0.293377,369.144298,401.22963,2.846899,530.091011,0.544088,529.755169,589.203597,2.39972,31.05713,-0.013597,0.225956,91.62043,2.497605,0.04476,-0.735062,-0.002698,0.142091,4.641531,32.533426,-0.006093,-0.262384,106.17703600000002,2.544395,0.176025,-1.685807,0.168046,0.288513,6.101326,0.4615229999999999,-0.064197,0.00263,1.59025,2.70383,264.364149,-0.000396,1.052867,428.695435,1.265701,198.137608,0.004193,-0.396572,383.337357,2.057151,264.330891,0.000626,1.028716,430.352722,1.265476,198.311559,-0.001451,0.2682989999999999,386.585747,2.056807,263.303849,0.001581,0.973947,423.199982,1.262373,197.475762,0.0031,-0.084444,382.887844,2.055011,559.794716,0.051547,559.772,575,2.87403,6878.875741,0.09807,6874.14,7560,2.605007,122.272941,0.1142079999999999,117.08,177,1.51055,135.836387,-0.167769,135.804,144,3.396699,91.089143,-0.216754,85.08,151,2.279516,287.011017,-0.079112,285.3,346,1.681228,5.155967,2.040233,5.144,6,5.179928,13.21938,-0.222972,12.28,22,2.290526,23937045.88,1389.193087,235086.0908,2267.438877,8154968.230986999,5,0.015207
0.187013,3.999904,0.000723,0.026881,2133,45,6.957203,5.355353,-0.130532,-0.002255,23.795675,3.206011,3.2753400000000004,-0.565605,-0.002827,14.341845,4.343878,6.781269,-0.040382,-0.003425,28.811338,3.05567,0.001643,-0.005106,-5e-06,0.006144,2.418878,9.879816,-0.0053,-0.002765,42.319715,3.056275,3.254385,-0.593126,-0.002774,13.971453,4.405901,182.648071,0.108814,182.544723,211.98652400000003,3.3522160000000003,370.326765,0.197389,370.27617,398.465419,2.928393,531.618695,0.445664,531.281049,595.7548009999999,2.349863,31.083865000000003,-0.009449,0.23792,91.889938,2.497013,0.045172,-0.728864,-0.0035,0.143753,4.6185,32.554891999999995,-0.005956,-0.230105,103.015347,2.550939,0.220501,-1.791851,0.214415,0.3315349999999999,6.38802,0.4600869999999999,0.067401,-0.003704,1.86248,2.8846830000000003,264.609335,-9.2e-05,1.526745,433.616913,1.265094,198.376027,0.003682,-0.487607,385.271477,2.057254,264.646385,-0.000155,1.498197,429.016479,1.265177,198.560895,-0.001989,0.360167,385.154297,2.056762,263.573201,0.000566,1.425853,419.548096,1.261568,197.718328,0.002565,-0.090444,381.77792,2.055138,559.116424,0.027259,559.064,578,1.972694,6870.279769,-0.02456,6866.124,7482,3.146304,122.073683,0.1191079999999999,117.088,176,1.524659,136.056723,0.066609,136.024,145,3.307286,90.958892,-0.187779,84.92,149,2.280345,286.937505,-0.09463,285.332,338,1.7024,5.168752,1.907537,5.156,6,4.651847,13.254282,-0.168032,12.316,22,2.280678,23936647.17,1274.624106,234303.804039,2262.523411,8156091.07,5,0.017379000000000002
0.188648,3.98622,0.000717,0.026775,2008,32,7.045591,5.540396,-0.11777,-0.011406,23.754714,3.2195720000000003,3.371739,-0.589369,-0.01185,15.206868,4.467288,7.182453,-0.039358,-0.01261,27.281341,2.962946,0.001647,-0.012735,1e-06,0.006548,2.423422,10.462172,-0.01754,-0.012231,42.946328,2.967438,3.343778,-0.611275,-0.011849,14.447082,4.505404,183.342675,0.1187039999999999,183.235009,222.73862000000003,3.413447,371.454895,0.246794,371.407534,401.52954,2.94646,532.952379,0.4313439999999999,532.639683,590.741539,2.36141,31.139475,-0.006067,0.180493,91.210773,2.492408,0.044975,-0.759148,-0.003871,0.133249,4.634922,32.618177,-0.005717,-0.226302,102.134918,2.5451040000000003,0.253911,-1.848161,0.2487369999999999,0.356354,6.514514,0.47012,0.0214819999999999,-0.001818,1.855383,2.73199,264.955423,-0.000275,1.6589900000000002,430.84613,1.265783,198.591218,0.004076,-0.563408,390.294846,2.057171,264.970679,-0.00031,1.614953,427.771332,1.266118,198.76215,-0.001617,0.424056,388.083496,2.05656,263.875628,0.001166,1.557934,420.38812300000006,1.261655,197.920811,0.002957,-0.099384,383.447771,2.055089,568.5611349999999,-0.080696,568.5,587,2.795507,6935.384651,-0.001301,6930.636,7587,2.371041,124.340661,0.111541,118.864,181,1.41068,135.494723,-0.619031,135.46,143,4.25316,91.075112,-0.152127,85.348,150,2.318213,287.919829,-0.083505,286.132,341,1.578793,5.121718,2.475507,5.112,6,7.161364,13.240242000000002,-0.165188,12.368,22,2.318874,23937732.36,1438.976307,234520.9446,2268.494338,8154847.583885001,5,0.019552
